embedding_x,embedding_y
85.799614,-2.4394257
7.597609,36.095417
-47.503517,28.910206
-6.6898084,72.63077
52.774532,21.908903
-22.726843,3.659579
-44.899582,14.698371
-30.763819,0.021360833
-33.792965,26.425161
-5.92889,65.393845
85.36671,4.2188225
-6.021028,44.28929
-34.66327,31.22182
39.731743,23.40933
-16.21358,17.264242
-34.230167,30.091076
28.684795,-14.3619375
-65.51687,2.518774
86.02284,4.7803664
-37.058136,29.68369
-39.788548,28.789568
-57.10985,0.89293045
-35.839996,5.3384347
-56.110714,9.352572
-18.913656,16.48543
85.992805,4.7563143
-9.162102,8.728883
4.5426188,78.5392
-3.9153986,66.819435
84.32093,1.5429265
-37.571205,21.629478
-8.754218,15.30764
-64.0064,-1.0402703
85.42535,4.241013
52.66023,21.750988
-53.751328,5.193042
-35.006134,30.658436
-19.863897,1.0570288
-33.380238,14.51247
84.28059,1.3323978
-38.69297,30.658852
33.0346,55.869843
-31.20253,13.305653
38.60063,27.541351
8.284036,28.579874
-4.258459,27.114021
84.30481,1.4119124
-32.814827,25.315706
-3.1623468,39.347706
34.69601,49.024532
13.583707,52.71109
-1.4019203,76.45434
-16.80647,36.36954
-49.856926,27.710829
-53.426315,23.980814
85.66083,4.4699483
13.190825,51.621
-7.995557,9.865572
-39.96918,27.269743
35.580433,49.686546
85.85104,4.6351414
-5.449836,22.5824
-62.833855,7.652801
85.4874,4.32863
-64.80406,4.0296354
84.96368,3.6774278
-32.72445,25.517479
-2.20072,75.08701
-32.694336,25.36138
70.84075,-13.772904
-17.350824,16.045542
-40.65624,21.404999
86.017235,4.7806253
85.72695,4.532245
86.0161,4.7746696
0.12629755,58.255737
40.749252,21.01923
-37.17109,25.761955
-45.833252,26.537445
-17.805471,-7.2316732
86.015724,4.7789316
0.20542215,61.947384
85.86871,-2.4257162
84.31213,1.4541676
50.483055,19.275736
-58.19102,28.42732
-66.42336,35.165173
11.202072,28.815048
-37.853756,30.709751
-15.432457,14.456352
23.50717,67.81778
-6.9714518,72.08001
-51.598316,12.716176
85.12659,3.887976
-11.607278,9.880813
85.43384,4.249915
-33.680782,24.223064
70.833595,-13.779696
16.88739,72.56948
37.0274,34.4726
-51.85494,12.761579
85.84383,4.6328864
84.96617,3.6685302
-52.006283,13.66766
-52.058067,34.07885
-58.46845,-1.9764074
41.4255,20.805216
-47.31035,12.103247
86.389915,2.6414738
87.39125,3.202686
-16.61304,18.814896
86.48088,2.6793935
-63.826942,3.9591935
87.401276,3.3103845
-24.114073,2.1938293
-44.18316,28.116117
-52.35889,32.528244
86.863594,3.0246637
-39.553604,28.215717
-39.06581,16.370363
-43.473988,13.363705
-54.799118,8.452086
36.322987,46.859386
-48.628307,9.812988
-53.64924,2.5311582
-39.454113,17.551893
-21.721434,7.52329
87.44264,3.2622545
37.425163,36.44695
-7.1270323,8.75458
86.95087,2.923951
-44.955845,13.154157
42.203346,20.300472
-1.8159293,75.903435
-64.145874,27.866488
32.995605,54.21249
-48.7667,29.986254
86.277596,2.5314956
86.98853,3.0186293
-16.476221,5.758184
86.49393,2.7251322
25.554333,66.062515
-46.073067,12.33183
-34.735916,5.429039
-18.94237,-2.236297
-38.809734,30.758467
9.857433,48.96851
-46.901592,12.470503
-20.034878,-2.128879
-18.810078,3.5008736
-6.8564644,12.594077
-7.763974,8.72321
-11.776352,-3.9826427
86.71428,2.8489928
-0.52852094,61.065548
50.473454,19.29296
84.565796,1.1497154
-33.09227,8.826923
86.66269,2.7467313
86.39017,2.5891962
86.44363,2.6821265
-5.1050286,40.42935
-22.648008,8.079071
-35.289154,3.230191
-40.157623,26.606586
37.99292,36.06826
-18.610023,-2.8118215
88.31816,3.4483442
87.361755,3.174536
-52.7825,10.241745
-35.287643,30.763378
9.131015,29.217325
-39.46858,26.164888
34.604282,54.168484
7.80491,34.42401
-15.253481,2.9872975
-37.93789,4.5153937
-2.9767337,7.5506754
86.64671,2.806238
-64.45545,33.797634
-39.535244,30.072313
8.913806,30.620094
-41.658875,28.043697
9.913974,46.069866
-35.240673,3.0502872
18.734032,42.78869
28.504389,62.517113
-3.651949,39.825104
-33.960552,29.931322
16.597494,73.07865
34.222485,54.295963
-37.231136,21.977217
37.14973,43.27864
87.38478,3.203191
-36.747498,30.631422
31.756117,56.660282
27.894678,63.78229
79.057335,-23.080742
87.90314,4.4536037
38.00245,33.26189
37.46023,34.309067
87.472206,3.2540984
-3.8834045,27.217283
-45.27481,23.299368
-66.00926,1.5416573
-33.75181,3.4381588
86.96323,2.9727867
-14.531173,31.32906
11.073857,30.300127
0.19200723,57.055748
-32.30973,8.560064
34.969124,54.041626
-38.002277,-8.060764
-11.657317,23.927229
73.51266,-23.897
87.777115,1.5164963
-16.056843,34.107807
-46.542446,27.424385
85.83511,0.7891375
35.895775,48.35483
8.462225,33.303467
-42.22532,21.929544
-53.087193,26.044329
-18.56285,-6.9454966
84.62889,0.5817139
85.60939,0.77685344
85.63632,0.76295257
84.07229,-0.06264026
87.96333,1.6029819
-52.445206,23.812698
70.77921,-13.867768
87.964424,1.6032486
87.892525,1.5691103
87.34678,1.310924
87.6222,1.4404491
-36.59324,31.771914
-61.686893,29.666683
-39.708527,8.149929
-55.233227,25.121134
-49.689014,28.317171
2.1078389,76.67597
